gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
REXO5,0.4405654909418119,3.181448265126873,1.5399074857967738,2.0659996100225064,0.03882851640972545,NA
KIAA0100,12.055330058482303,-0.8530960562544755,0.30622064480813754,-2.785886813049403,0.0053381507695711055,0.47790926790440386
MGST1,25.637243072018705,1.4439581783566278,0.4902659941551974,2.945254607847698,0.003226890032295335,0.34554719093895236
FAM76A,3.74951460548133,-0.8634911344066987,0.40713831540061474,-2.120879076578787,0.033931979867882184,NA
CD9,6.048815735807781,1.4322574534770354,0.6398618449989768,2.2383854650363246,0.02519592905998718,0.7837577014252577
IDS,20.697862654469223,-0.5148866603383364,0.2125563224716425,-2.4223540111681614,0.015420320269801068,0.660521442729203
CD4,33.691624659964525,-0.8389848419801497,0.31336226240590026,-2.6773640052847427,0.007420396951408358,0.5442307662768983
FYN,25.52709206411574,-0.40554678302950953,0.19431871981201995,-2.087018602334491,0.036886453037172674,0.8231002323552539
CALCOCO1,3.7344622238598504,-0.8702860853976199,0.4180803615449881,-2.081623930340893,0.037376833826186805,NA
NUB1,20.13051326590275,-0.6744270240417706,0.24274146864074866,-2.7783758078843372,0.005463139272454141,0.47790926790440386
SERPINB1,125.52350459746202,0.7525532428316527,0.3599231059093825,2.0908722737603913,0.0365395151386376,0.8231002323552539
GRAMD1B,5.773081495815899,-1.004153938012599,0.3696303789641346,-2.7166434231587675,0.0065947615048795915,0.5251290218821428
SLC4A7,5.445765801387019,-0.7256063389940076,0.3430575237125181,-2.115115655070329,0.03442009125904927,0.8231002323552539
VCAN,165.5982318397122,1.1700849821257684,0.5228859009757957,2.2377443720363988,0.02523772988005982,0.7837577014252577
ZFYVE16,10.401412714300516,0.7293454685164638,0.3224859613712483,2.261634786876306,0.023719976890673088,0.7673941651639613
PHLPP2,1.0708530731613874,-1.5484887719936147,0.6818329645770196,-2.271067625711279,0.023142884451273802,NA
MED17,3.862135049945556,-1.2069641374581725,0.4107986649073072,-2.9380916749827133,0.003302393559080461,NA
