gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FGR,5.563014054894557,-1.902442796804498,0.6205373765606875,-3.0657988844261697,0.002170892830763022,0.06391946071708268
LAP3,6.143048771919502,-1.7083245593061258,0.6624564206654999,-2.578772740386383,0.009915199318844206,0.11496866049373328
TFPI,11.457816488201537,1.4712701382203266,0.577547933660108,2.5474424761532983,0.010851574215412677,0.1169620705382882
PDK4,0.729641168794271,-4.768276720495504,2.2693107076216656,-2.101200467825255,0.03562337236565745,NA
SLC25A5,12.986295724044211,-1.4032374863340584,0.370399098341773,-3.7884473602019124,1.515917029568943e-4,0.027511855099771675
MCUB,2.680935424700018,-2.2953288093799036,0.9370121648169486,-2.449625411030081,0.01430049000019103,0.1339963000701883
ACSM3,4.3266299086518805,-2.090768228005259,1.0585351695285228,-1.975152350333809,0.04825086146540782,0.2366518013858509
TSPOAP1,0.5160066941248607,-3.340281154202098,1.4237191560556515,-2.346165772929679,0.018967669218498705,NA
MYCBP2,7.049025877932229,-0.9965817471174162,0.452662903952412,-2.2015980068518846,0.027693716852354142,0.17834948809168483
ITGAL,3.080007652200722,-1.611161572816805,0.7462021658708122,-2.1591488828454306,0.030838618300356564,0.18510384360329019
REX1BD,5.140577004952083,-1.374626751984034,0.5677372243017375,-2.4212376662014607,0.01546776078254859,0.13798199576555273
ALDH3B1,0.8130004677971654,-3.541984562449233,1.6473578995635099,-2.1501002079680016,0.03154728917739525,NA
IFRD1,37.49404808743391,1.4226112038926482,0.4773016341840211,2.980528667840613,0.0028775130320441156,0.06981991332726317
ARSD,0.8684315026287619,-3.527509938723924,1.4972373710675808,-2.3560124846527777,0.018472296851762167,NA
KIAA0100,2.391361897668367,-2.8511613207674538,0.9143820715070335,-3.1181290727500035,0.0018200307788509185,0.059208654910679635
GAS7,4.144685896616507,-3.1241010957025366,1.0950003470612504,-2.853059457092378,0.004330051917051765,0.08256053396858883
MATK,1.9451792195276045,-3.1503238461793543,1.0069551162211066,-3.128564317744236,0.001756625610370117,0.058799321117603366
CDK11A,1.1338394152688367,-2.4763079257512635,0.805563384907564,-3.0740075481899076,0.002112040887577913,0.06391946071708268
NADK,3.185223070441872,-2.3144823921452136,0.7254513494839246,-3.1904033175921476,0.001420743689850204,0.05597319059939701
SPAG9,3.6001240053422014,-2.0433746099121306,0.6640201183061087,-3.0772781630844337,0.0020890026297591215,0.06391946071708268
MGST1,3.942902798456708,-2.932487905226592,0.981903592109675,-2.9865334323973465,0.0028215998436493827,0.06968904351194015
IL32,12.500104667498778,-2.8272434873087824,1.0196387373699274,-2.7727894044133903,0.005557807547154866,0.0908291912006396
RPS20,32.751149257181524,-1.1162926417455512,0.43709917721121866,-2.5538658042500204,0.010653430718794701,0.11635294417998088
TRAF3IP3,1.9410574475109037,-2.0899501199296076,0.804339140611183,-2.5983444226542844,0.009367448276306438,0.11269951546660952
UQCRC1,3.0833996149653804,-2.304069741756855,0.6638135594539798,-3.470959140473221,5.186029053257828e-4,0.041707641347546606
IDS,7.46739182535808,-1.526764294267624,0.6081333345915503,-2.5105749141231795,0.012053474402229062,0.12215096110691907
CD4,1.5944116530606265,-3.156579437712833,1.0097585157531148,-3.1260735992491635,0.0017715720853223396,0.058799321117603366
LYPLA2,3.5033858840462946,-1.4093472799652311,0.6496752227151921,-2.169310496520302,0.030059118870685107,0.1839407939867599
TYROBP,38.07971951211456,-2.617058152978381,0.8715252855549787,-3.002848220647855,0.002674657884577612,0.06873885098081363
ELOVL5,1.8442692255260227,-2.00634213291679,0.802814403839146,-2.499135694778573,0.012449663009774422,0.12423815332151367
MVP,3.2029697143493308,-1.8695363525357298,0.7363806539047812,-2.5388178554422924,0.011122771444338453,0.11846034850651123
NUB1,3.153438422592786,-2.1052168505264373,0.6830491222279907,-3.082087044720262,0.0020555471972545382,0.06391946071708268
NUDCD3,0.6720108094798001,-2.837405728158869,1.0844303765265892,-2.6164941425258004,0.00888378885608067,NA
ATP2C1,12.47012427854475,1.055800977537106,0.5304624217055272,1.9903407561699202,0.04655341127363511,0.23362363913561043
RUFY3,0.5948458758301106,-2.4292180614871515,1.2198861375876764,-1.991348197702228,0.04644262009380846,NA
MARCO,2.6854899633527425,-3.3500495584210745,1.378260252699649,-2.4306364141744705,0.015072331039128195,0.13730469793342184
CD74,40.33607902559466,-2.185816729356145,0.8520569731655462,-2.5653410490092456,0.010307443574024182,0.11609336448086388
RUNX3,2.780482750832861,-1.9890557141558753,1.0041598648579828,-1.9808157881685355,0.047611935601568865,0.23572981217730188
GRAMD1B,0.4442328840848817,-3.3643220660879916,1.48598921187294,-2.2640285940216227,0.023572356164008164,NA
DERA,33.052908662143395,1.1832907243611739,0.4618232269021155,2.5622157038281124,0.010400669993084428,0.11635294417998088
TYMP,36.256972281628016,-1.8733047052678626,0.671878446675808,-2.7881601419665154,0.005300833332765911,0.0896283760011875
RNASET2,10.630569937618253,-0.8213072675093784,0.3659980916854632,-2.2440206278867856,0.024831074157028312,0.16912630639200715
CD44,15.579098430432827,-1.9797972297394864,0.8572912985808869,-2.3093634952515374,0.02092341893842463,0.15681315053851574
TNFRSF1B,7.224767664913408,-2.2913954983175238,0.8514368122553266,-2.691210275778382,0.0071193305968677055,0.10089152198038348
POU2F2,4.764091126285907,-2.7818843425236266,0.8356499935416267,-3.3290065984845256,8.715633946826588e-4,0.04591545689468528
GRN,12.699070402902889,-1.7529403161267438,0.7861191395311443,-2.2298659681180504,0.025756342294393653,0.17169982488069224
PNPLA6,1.865091305848826,-1.6319500327014393,0.7313721280277719,-2.2313538760386975,0.025657697542279027,0.1712950189413632
ZCCHC8,1.764469496125103,-2.217712509115394,1.097564251803614,-2.020576476931582,0.043323626029904326,0.224960831979333
TMSB10,178.96918851273094,-1.836814397861652,0.8646680012968859,-2.124300188172428,0.03364505001016043,0.19434198776587144
SH3YL1,0.5647542721161718,-2.467399290436556,1.0551510178942982,-2.338432365217822,0.01936483042072778,NA
TIMP2,3.540152204350517,-2.277702713512602,0.8679077551383583,-2.624360365520066,0.008681188048539137,0.10948532705571694
RFC1,1.5073457760092315,-2.078873794630252,0.7470933295112018,-2.782615922953548,0.00539225980820396,0.09006092424616384
BOD1L1,4.356963803041678,-1.7434643569859227,0.5468415355932394,-3.188244205141679,0.0014313959268299798,0.05597319059939701
VCAN,22.45618151092802,-2.2734578299507957,1.1473377443263204,-1.981507050729597,0.04753443946031671,0.2355320211173513
INPP4A,1.2074045102382176,-2.458782516771268,1.0913129068405476,-2.2530499743558168,0.02425599816296132,0.16665703885679775
PSMA4,5.106526265564366,-1.493591158888838,0.6524527402015188,-2.289194399624289,0.022068059853990074,0.16134375228913722
CAPG,3.6121611618665583,-2.371754718083573,0.9435896939207502,-2.5135445346256304,0.011952468594656146,0.12215096110691907
HSPA5,7.447326336343795,-1.1995276238189103,0.5713919575289687,-2.0993078534153087,0.03578977158297161,0.20166694016350523
TPR,2.91682735662612,-1.590335151956344,0.6152637963807155,-2.584802098403121,0.00974349053772305,0.11403155996853861
MAP4,1.048852447225245,-2.24071806064533,1.0201070999122352,-2.1965517746500436,0.02805247363561165,0.17901848909527632
USP28,0.609576897189877,-3.307970383246075,1.2267795866713755,-2.6964667648420857,0.007007939047256341,NA
RRM2B,0.831038649967241,-2.879057057477447,1.1990275191790327,-2.40116011636557,0.016343183607849164,NA
FAM120A,4.812265238798427,-1.7281609430428369,0.5950463520506261,-2.9042459248549535,0.0036813886705992904,0.07860589854777845
ARID1B,5.857635305061807,-2.1314182015394616,0.5668007074739065,-3.7604367345246907,1.6961696927615701e-4,0.02800019074392981
MAPK9,1.2053178730572411,-2.041358037178166,0.8977997930263486,-2.273734136535111,0.022981976400619428,0.16271550559941947
HERPUD1,5.151168575697524,-1.5941906724287565,0.7599381657613561,-2.0977899837832084,0.03592370171552955,0.20174519325113413
CYBA,42.78954331849884,-2.3164748002916835,0.8465951147160661,-2.7362250974819182,0.006214849763945005,0.09508720138835858
HEBP2,5.465012975771297,-2.580233687903407,0.6830960473981669,-3.7772633844555474,1.5856102481618246e-4,0.027629258574219794
TTC17,1.8733138594329688,-2.5398276024305293,0.8965687183924516,-2.8328309368014115,0.004613778057962368,0.08512420516940569
FOXN3,6.406063757008617,-1.4293854980640988,0.4952489947232007,-2.886195657727676,0.0038992966606901627,0.07860589854777845
KCNQ1,0.8816282061527,-3.7537254328783414,1.8097301366236853,-2.0741907077269883,0.038061602888258016,NA
THRAP3,4.328724285520427,-1.8114557491858958,0.638471390457754,-2.837176068119774,0.0045514505409427345,0.08447115160749637
RELT,1.905551553123147,-2.0463213807618823,1.0058650276928527,-2.0343896292482886,0.04191232666311612,0.2209378362669978
KMT2C,8.770845998435936,-1.1905653397435605,0.39795633186916857,-2.991698446288244,0.002774301584570017,0.06954766022421509
SOAT1,1.4297939226865712,-2.3482891205629435,1.0488815771492346,-2.2388505735274533,0.025165640379603595,0.16982297902070204
GDI2,9.009763298285103,-1.2021268037114543,0.5387819479476259,-2.231193543678845,0.025668311462598663,0.1712950189413632
ACAA1,1.7435497315335684,-1.6019297182870371,0.7819485235489553,-2.048638331096926,0.04049749354982841,0.21652457701864647
TNK2,3.095608377275513,-1.5813676959339633,0.8030340518135476,-1.96924114533207,0.04892540608791475,0.2380985821485564
MON2,1.5949776611286735,-1.9055198517568654,0.9107942460843601,-2.0921518333575104,0.036424935653508,0.20310544120396062
VMP1,5.718397830065405,-1.5033866733397234,0.6931341126109403,-2.1689693898871516,0.03008500791175126,0.1839407939867599
EIF4B,8.017920231976634,-1.7231534393040948,0.5049828752300372,-3.412300740929361,6.441700217162622e-4,0.04438599808706593
RPL18,65.93815969593669,-1.7286004386097718,0.5791574812245505,-2.984681187152895,0.0028387402411174313,0.06968904351194015
OAT,1.0782032184938388,-2.1531542723911126,1.0206399645211999,-2.1096119564563542,0.03489179362845997,0.19942130672862898
KARS1,3.152406687971821,-2.0575708363449263,0.6648213875106083,-3.094922749175386,0.0019686416389918552,0.062056728650230694
SPEN,5.052675966386171,-2.208347811043452,0.6649573889163071,-3.321036577460152,8.968378291983177e-4,0.04591545689468528
SLK,2.572933161235445,-1.4220570897152474,0.5616778077774978,-2.5318021649140516,0.011347799655791973,0.11963823065677823
FAM107B,5.9602860137050016,-1.2777791932222275,0.5256697645559731,-2.430764102062351,0.015067020753159301,0.13730469793342184
TBC1D1,2.2027508087831174,-1.821026944455944,0.8655924800189781,-2.1037924733542255,0.035396553649539045,0.20076182734498954
SPI1,10.577013473754986,-2.365807033989447,0.8498684463276399,-2.783733228610049,0.005373721226818053,0.09006092424616384
ATXN3,2.215609834511745,-2.5370345276613153,0.9118397453465934,-2.7823250089816822,0.005397096182454835,0.09006092424616384
TNFRSF1A,2.651017751794591,-1.9955495746090073,1.0107636747134148,-1.974298863851446,0.0483477700229309,0.23675687849636654
IARS2,1.2651250517784434,-2.5575123042421737,0.9703111729364725,-2.635765077817585,0.008394782827826075,0.10739936229431878
IFI35,2.045627703276299,-2.272406426081629,1.0260997590949081,-2.2146057495287303,0.026787137042215338,0.17572486001849025
GRIPAP1,3.6827050372038896,-1.3673133115599725,0.6218079201522072,-2.1989319647541303,0.027882760338172385,0.17867174771249947
LAPTM4A,4.694630492888498,-1.3222492011735067,0.47743063977277916,-2.7695105655615175,0.005614058340776069,0.09123572013390745
TTC7A,1.0109851116546646,-3.023962124132017,1.088921895290723,-2.777023896029451,0.005485914558059639,NA
KCNAB2,1.5713430695651067,-1.850283672520822,0.7614686524702216,-2.4298881727021326,0.015103482062702137,0.13731035214395726
ATP1B3,3.8639406829094534,-1.6123024498774643,0.5573784347148624,-2.892653087129696,0.003820029699950396,0.07860589854777845
RAB27A,4.250484264740125,-1.731514804140502,0.8681560921021338,-1.9944740581706344,0.04610027223558745,0.23258923912691734
RNF126,2.367885169478521,-1.4110059578693996,0.7112848524570048,-1.9837424528236964,0.047284558360714476,0.23490504753029431
MNT,2.2215127566200765,-2.664688647698355,0.9757064643929481,-2.7310351472932335,0.0063135738023839165,0.09585185808058477
ZXDC,1.3701523663310684,-3.284785166329445,1.0075806234556586,-3.260071789653666,0.0011138401718291287,0.05008053128460364
PABPC1,63.3038489547302,-0.9095921090781806,0.4535929450556092,-2.005304798042366,0.044930472203575524,0.2295468690844999
TCOF1,1.0811600315447472,-1.8266244353613734,0.8736437184487243,-2.0908116166677173,0.03654495435609527,0.20353587444242532
ATP2B1,4.009040014665381,-1.8058681591364383,0.8656572724456414,-2.086123708098157,0.0369674186641233,0.20503679688775017
RPL31,17.1572798042579,-1.552740300870828,0.520335251566676,-2.984115137684188,0.0028439973121403917,0.06968904351194015
PDCD2,1.7337782524571654,-1.9605639968122552,0.8299794033745113,-2.3621839154574666,0.018167626700369335,0.1463102818309816
RDH11,57.082777217382386,0.8575500073932899,0.32351972113948224,2.6506885094141324,0.008032788658375803,0.1063102019855237
TFRC,4.049904698116487,-3.1326806323744245,1.3139086850198998,-2.3842453193975035,0.017114189413925018,0.14281367048783394
UBE2D1,4.553041316782258,-2.894056767688621,0.7908816834332572,-3.6592790404822315,2.5292581757294243e-4,0.030901205182068993
