gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PRKAR2B,4.135072742082015,4.644659348259131,1.325995418426335,3.5027717922067336,4.6044376469479473e-4,0.08760966548178523
ITGA2B,2.9889559485504167,4.4465297157032495,1.6416702484369974,2.7085401102546047,0.0067579942806368695,0.28862267240219963
IFRD1,2.980177699033615,3.400912948951253,1.523804973306724,2.231855787667579,0.025624495788723424,0.5258359608148186
CD74,16.953763710297636,-2.2474266466790476,1.0144646558454686,-2.2153819097876917,0.026733861948832212,0.5258359608148186
DERA,1.9361424564473169,3.2150600132734803,1.5787576501281515,2.0364493644813098,0.04170525277754816,0.5745527330222041
GCLM,2.3574887756869174,3.985411372739197,1.5795611265937202,2.5231131012534007,0.011632098233809379,0.35996158560383196
TBPL1,5.158714675740939,4.591698004556205,1.536913444979351,2.98761001769875,0.0028116807669935754,0.1746650173435403
ANK1,5.160446339420514,2.7885028739454323,1.3803718540131267,2.020109918815336,0.04337198723518581,0.5811279335433392
DCUN1D1,2.711394477858937,2.5208369854382378,1.1075377024386672,2.2760732929340937,0.0228416232467976,0.4981417835737775
XK,2.526239365935562,2.7466210290285518,1.2416303686745993,2.2121084489585106,0.02695917248042596,0.5258359608148186
NDUFB4,3.7418168093414543,2.8316312363999816,1.1178449080444466,2.533116370636447,0.011305341381420007,0.35996158560383196
KIF2A,3.5494071653016546,2.367299236940082,1.2043582489169644,1.9656105142044802,0.049343618640685934,0.5833458695547692
DAPP1,2.9458716396307385,2.9077329353225094,1.4089019403243097,2.0638291793772314,0.03903391541203217,0.5675143730118152
IGF2BP2,2.8664114333098594,2.6491820249885376,1.33519056609894,1.9841227853554415,0.047242153614283265,0.5833458695547692
TSG101,1.4682413388543214,2.5638804708086838,1.263143012764901,2.0297626198292393,0.042380674272586356,0.5755730806985772
CPOX,3.104818321426292,3.2690440561354674,1.581967089274997,2.0664425184936333,0.03878671470723527,0.5675143730118152
RPS5,13.086567481482623,-1.2801363614126384,0.5925428520336978,-2.1604114487568524,0.030740831942673286,0.5459314868859757
RAB10,2.389348892180252,3.4778641710315688,1.293742994606629,2.6882187463276166,0.007183432173126376,0.2945207190981814
CTTN,1.0941435923355929,3.5919499530361803,1.7247377273063578,2.0826064717943966,0.03728710882403931,NA
EIF2AK1,11.754869498504593,3.2008243314734384,1.0658354648208068,3.003112991752039,0.0026723319356304048,0.1731248250321972
GNAS,22.506354085980092,1.8816680862721438,0.7322458193077467,2.5697218565905127,0.01017801973347964,0.35745284629517954
TMEM40,6.970738965761538,5.58442199924188,1.6221621056004774,3.4425794931109484,5.761944933571351e-4,0.08779979669318357
SMOX,3.6705108474910695,4.131791606511515,1.4799546583649899,2.79183661685703,0.005240981224848955,0.2498607328125665
DYNLL1,8.680878605954378,2.4397565424460814,0.9547163736133193,2.555477846485783,0.010604211099919422,0.35996158560383196
SNAP23,2.930360055547666,3.3596694460732768,1.349925021446869,2.488782260271267,0.012818144267843772,0.35996158560383196
MARCHF2,6.027351329869792,2.841824208535313,1.1372000250013632,2.4989660095477984,0.012455625726537033,0.35996158560383196
CYB5R3,1.7381808051195544,2.9297493478898886,1.4354439028578962,2.041005811552026,0.04125024944810211,0.5745527330222041
GRAP2,6.591327935008876,4.985911089915686,1.5075974543657067,3.307189910328825,9.423698096194663e-4,0.09659290548599529
RBX1,12.724289814825035,2.0641340091886926,0.9710679134586088,2.1256330073114658,0.03353382903182349,0.5525788613841903
MYL9,3.0287995062960578,3.5982892437779204,1.3681805399889408,2.6299813062733706,0.008538956345505899,0.330280386948813
MYL12A,20.960204770323823,1.911936752951558,0.8529358318858437,2.2415950666819335,0.02498755511318416,0.5226988569594646
PGRMC1,5.347045764705203,3.6037359151322645,1.214490637541306,2.9672817589009184,0.003004454920110915,0.18115095841845225
GATA1,3.2900266308161847,3.726013297214016,1.45206654131717,2.5660072670183203,0.010287667283617363,0.35745284629517954
TIMP1,7.291235968683307,2.749566906851695,1.2246704605356387,2.2451483851820075,0.02475860831524931,0.5226988569594646
TSC22D1,18.787367741082885,5.450811412603155,1.612398262036607,3.3805614536685744,7.233789682691572e-4,0.08856246530532223
NUTF2,2.9237094057258566,2.470302389359334,1.1518407026445223,2.1446562738126396,0.031980339405168444,0.5525788613841903
NME4,4.816618605428006,3.3991592388428145,1.3586990590862398,2.501774926619024,0.012357245637222946,0.35996158560383196
RAB11A,5.099012008610298,3.2400812780507775,1.1928887300944822,2.7161638770735546,0.006604321854656868,0.28806084685205485
CA2,23.833369797090917,4.926592406167141,1.356286475806997,3.632412837587129,2.807834326904367e-4,0.08407073583649223
LYL1,9.458977345315756,3.2387859726961215,1.0562247111688918,3.06637966187314,0.002166680042676868,0.16158510302291337
RPS19,28.497219831375123,-1.087511328630833,0.5426901329485143,-2.0039268499727942,0.045077896876122105,0.5833458695547692
NKG7,4.041214301161225,-2.551431415637215,1.0835194982670364,-2.3547628074233393,0.018534532256277447,0.43595869613488103
WDR83OS,5.220262343580295,1.8944860434133475,0.9147314944447243,2.071084307164224,0.03835091810626529,0.5673493023962576
SYNGR2,1.6911391826364561,-2.879867024416955,1.3133421629997246,-2.192777408317743,0.028323420401788636,0.5376204798487657
CLCN3,3.9753299722351487,3.4509700372030396,1.4585696405587603,2.365996069876386,0.017981635297424456,0.4286320041827923
ACRBP,18.726032068330465,6.495886080598282,2.094727198873493,3.1010654199227727,0.001928256842406075,0.16158510302291337
RIPOR2,13.103728949817627,3.048708393542694,1.1680481841682078,2.6100878669776324,0.009051896921818871,0.3421919587076032
RHAG,2.82351995685009,4.240296239733345,2.0982116423812798,2.020909689987705,0.04328911463866079,0.5811279335433392
SOD2,7.228534456110919,3.2075559512507157,1.1652936886556218,2.7525730058241495,0.005912896110402492,0.27548720514375247
DAP,2.26678759805499,3.4914434273886465,1.6848315455125928,2.0722804227448215,0.03823929707302371,0.5673493023962576
SPARC,3.0975857586850015,4.1002232300781065,1.3966964451207653,2.9356580983662353,0.003328409534585486,0.19286575658187965
CCNG1,3.072372526710353,2.8968415577829396,1.3240007270616916,2.187945594419573,0.02867356556225623,0.53927348075803
CPEB4,11.67058259694105,3.65436925429803,1.4591150979633327,2.5045106170163582,0.01226209250282952,0.35996158560383196
CRBN,3.273337063716358,3.3185122821386885,1.3672621347956604,2.4271222011385882,0.015219128631409319,0.3826488787744941
PDCD10,6.476086318529695,3.3750453420781805,1.2424130259847626,2.716524433895925,0.006597132542779129,0.28806084685205485
EEF1B2,10.363789106689879,-1.4803923112293196,0.6461377050249655,-2.291140572228516,0.02195528473750299,0.48396057754710897
ODC1,7.653339112897901,2.6244191481608765,1.1182178475620204,2.3469658920958305,0.018926987295611906,0.43595869613488103
PLEKHB2,1.0099698241425001,3.0186931724882897,1.3620140077987966,2.2163451735470154,0.02666787147151438,NA
PARK7,5.318447425080803,2.1382362888049777,0.980832779169694,2.1800212372745764,0.02925588735801629,0.5437626977157397
GADD45A,9.379570961588007,5.262916978579226,1.5420051039859113,3.4130347331375055,6.42437536779392e-4,0.08779979669318357
RAB32,8.219262327970602,4.401086764614885,1.5640138879733532,2.813969107600321,0.004893393065825665,0.24466965329128323
MLH3,1.5579806146862303,3.58876346941834,1.720862476655054,2.0854446640001356,0.03702895617656901,0.5664877624027349
CLU,5.759577925930297,4.161493804973161,1.180682063435411,3.5246523461739834,4.240389044076153e-4,0.08760966548178523
NT5C3A,11.541182230307198,3.83281238227118,1.212212499166877,3.1618320920675007,0.0015677993666986649,0.13973863920575058
NFE2,6.439758336779387,2.4735958702272347,1.1576718496852492,2.136698642970167,0.032622510461421485,0.5525788613841903
STAU1,2.1541542221723726,2.6875890539531277,1.2117447115739466,2.2179498934740085,0.026558249042831186,0.5258359608148186
H2BC11,0.7632364625626343,3.345936277514246,1.7053865373722903,1.9619811721216955,0.04976467631786138,NA
EMC3,8.192876986878384,2.1210133762521255,0.8742541318261532,2.4260833309666214,0.015262765281845132,0.3826488787744941
IRF1,6.149196473130799,-2.176681628829619,0.8879060418936084,-2.4514774380715787,0.014227110527210768,0.37391764847156506
NDUFA1,3.7421289069989,1.8686399288227835,0.8927689635775973,2.0930834348615504,0.03634170716986364,0.5643977249865186
PPDPF,10.174952989618623,1.894638554307428,0.9663622880610404,1.9605882573386937,0.04992707329406439,0.5833458695547692
MAX,4.959065925628257,3.5102872988721234,1.1702119047732182,2.9997022629439076,0.0027024362931855174,0.1731248250321972
DYNLRB1,4.019692886995233,2.3275814666996357,1.1409306361771794,2.0400727203701603,0.041343083307736776,0.5745527330222041
UROD,4.616663504850637,2.795176470371354,1.1798154390483557,2.36916417420843,0.01782833764966817,0.4286320041827923
RAP1B,20.838934366387253,3.3053771242575443,1.18278648748436,2.794567877832009,0.00519691295400855,0.2498607328125665
TUBA4A,5.945524795800492,2.8753142475395,1.1140084230725364,2.581052519880525,0.009849959546592851,0.3542529310616727
GNG11,15.355543770664141,4.778269061634997,1.3662975851864103,3.4972388983495684,4.701006440486036e-4,0.08760966548178523
PTPN12,1.6348222853204355,3.5131593049541574,1.7116277577526424,2.052525316349693,0.04011863728151286,0.5745527330222041
YWHAH,2.0585914338071647,2.6397888778312506,1.1317482124387641,2.3324877820154564,0.019675044930764923,0.4425426833995978
SPECC1,2.2391570237498675,3.3468660421782417,1.4807117968894123,2.2603088927967825,0.023802086446822916,0.5136239706945998
MPP1,17.573144384352346,1.89723153313887,0.9274721162950618,2.0455941475822152,0.040796317748212504,0.5745527330222041
ATP6V1E1,1.8017458154454615,2.125305832690035,1.080595582965946,1.966791153131164,0.04920729292524359,0.5833458695547692
RTN3,4.037471262394191,2.8757643531830346,1.3323194830503053,2.158464534796908,0.03089173291647472,0.5459314868859757
