"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","DPM1",27.463576557119,0.826744775483894,0.292899177214394,2.82262580368651,0.00476321301926297,0.112147365353117
"2","FGR",5.67518433478453,-2.40117761348888,0.634246487589107,-3.78587451483763,0.000153168958052847,0.0175606140556805
"3","LAP3",32.5772070337316,-0.991462799045178,0.321513209219134,-3.08373892771985,0.00204416893742679,0.0715427986862397
"4","CD99",338.647473032592,-0.855566443705399,0.266253952263841,-3.21334739421102,0.00131197497366126,0.0551272986742159
"5","MAD1L1",42.3381369635347,-1.06430145720933,0.291543480363418,-3.65057539919138,0.000261653483049969,0.02350044312426
"6","CFLAR",142.147588183354,-0.507972846207812,0.216006845823773,-2.35165160747839,0.0186902713548304,0.205932808018677
"7","RBM5",66.0282966068165,0.446945703388215,0.224661760943772,1.98941600702612,0.0466553042764688,0.294950522713533
"8","CD38",6.64761555145121,-1.75359877481563,0.804338426447837,-2.18017530576025,0.0292444693514793,0.245189896574879
"9","FKBP4",19.4106301699279,-1.62464156079685,0.506338728709198,-3.20860615370766,0.00133380061608164,0.0556057945208694
"10","FBXL3",32.4135776498826,0.85017027653478,0.33757306157284,2.51847784468825,0.0117863298328916,0.173101102341747
"11","LAMP2",24.0455070399065,-0.717121402243032,0.327377292871878,-2.19050440533664,0.0284876756598231,0.243509512252931
"12","OSBPL7",13.9856864165549,-1.33078160754269,0.50906560991462,-2.61416521097523,0.00894457732940505,0.154641496729234
"13","FARP2",3.55146278301462,1.77809790083675,0.865282607479634,2.05493313452345,0.0398854635386281,NA
"14","CCDC124",35.5755054100126,-0.716599356248972,0.253102215743523,-2.83126464991174,0.00463643406599025,0.110804243988342
"15","MATK",29.9105207301724,-1.44530889405487,0.421940344479793,-3.42538681821664,0.000613924665557736,0.038519785345077
"16","CD79B",17.8682681132733,-0.984433315585043,0.411086213302044,-2.39471255354831,0.016633399476997,0.199048085591469
"17","PSMB1",195.979032578751,-0.357252613972685,0.14337363592001,-2.49175946247189,0.0127112088194354,0.178037590507365
"18","NADK",12.6748963761587,-1.24744497687838,0.375065206343149,-3.32594161170226,0.000881203857963475,0.0464356119935535
"19","MPND",10.9439709353989,-0.850176179284223,0.36123243998477,-2.35354327346699,0.0185954433134899,0.205689362544522
"20","ST3GAL1",53.656330859387,-0.494993500225054,0.237675771966256,-2.08264181127949,0.0372838850656304,0.270615934969588
"21","IL32",1435.88455421845,-0.659887096295315,0.318862178627615,-2.06950570034826,0.0384986569672188,0.276430170992092
"22","RPS20",1641.62931601481,0.926447376418855,0.237443048400964,3.90176668745588,9.54931767530711e-05,0.013250540685026
"23","BAZ1B",31.9438254496619,-0.561842545306734,0.284725308615525,-1.97327925655324,0.0484637549189732,0.302106169531645
"24","ETV7",3.04699558999628,-3.51945777481112,1.17523992609635,-2.99467172333165,0.00274740355299526,NA
"25","UQCRC1",32.3615597620753,-0.745249014875824,0.340137404865435,-2.1910234047051,0.0284500988119549,0.243509512252931
"26","CD9",4.4786146539675,-1.82692069939346,0.726155848205114,-2.5158796199317,0.0118735730195357,NA
"27","CD4",61.4200432654452,-0.588138400110193,0.235529426624528,-2.49709095181462,0.0125216835848308,0.177051683777965
"28","FYN",169.745628032019,-0.64885813685203,0.28850701294095,-2.24902032792123,0.0245112027922213,0.229275683009047
"29","HIVEP2",18.080500336309,0.820678624458013,0.397433647282184,2.06494500420423,0.0389282042012253,0.277408847014897
"30","LYPLA2",29.521295701989,-0.861616520312822,0.282534711812682,-3.04959526843578,0.00229149942809904,0.0762395339136953
"31","APBA3",10.4888288902184,-0.839092294162738,0.396625613132683,-2.11557767925098,0.0343807418819138,0.260287469610735
"32","ABHD5",12.4198077849676,-0.80893280972831,0.355430756462343,-2.27592237030847,0.02285065632214,0.222833296824179
"33","UTP18",25.2054323835497,0.615591319580737,0.313634807124073,1.96276467279096,0.0496735244591347,0.305642217451766
"34","RNF216",58.3936904194718,0.473429068392746,0.205161424732418,2.30759300394904,0.0210217839982002,0.214817875417715
"35","PLAUR",4.05559337170248,-1.90123022301535,0.774057421980631,-2.45618757604643,0.0140419841367957,NA
"36","PPP5C",9.47680060232507,-1.1104190506241,0.446429217084189,-2.48733507604341,0.0128704113185981,0.179004212503256
"37","CEP68",25.7007809496966,0.973636415499603,0.345136166754346,2.82102111944878,0.00478710511901212,0.112192817209113
"38","BRCA1",1.54040074013612,-2.00861771676023,0.87231286753856,-2.3026345151001,0.0212994154857296,NA
"39","PSMC4",45.0166439076855,-0.757119240472275,0.271866014954926,-2.78489843829065,0.00535444913494846,0.119698323028072
"40","SLC25A39",44.3516257223762,-0.733655459263167,0.292165166664091,-2.51109832030958,0.0120356170331178,0.174006481493676
"41","MVP",51.4117452811061,-1.08586784737401,0.328069386265916,-3.30987252341145,0.000933384698812688,0.0478554847727455
"42","MDH1",68.4901363759573,-0.592150470469133,0.213895442474127,-2.76841088159586,0.0056330389018202,0.124131693618292
"43","SLC38A5",7.36579663660506,-1.05533009097578,0.535071841224695,-1.9723147616221,0.0485736855254835,0.302298385456238
"44","RALBP1",40.3968191127093,-0.72620853512023,0.355250771499749,-2.04421381565034,0.0409324289255895,0.282104571084241
"45","CD74",262.189782654888,-0.840763435053993,0.387064848112734,-2.17215135694553,0.0298442483173321,0.245711928810766
"46","SERPINB1",92.352479797053,-0.637592336215062,0.250031096373777,-2.55005215536036,0.010770680482759,0.166450866455354
"47","ZNF839",4.08024973029081,1.68799234704525,0.768973838240014,2.19512324490602,0.0281547582056382,NA
"48","PLEKHO1",47.2911797544849,-0.498686181434002,0.211170035188514,-2.36153856293493,0.0181992790120326,0.204938812284111
"49","KPNA6",37.9355458711642,1.02966996512864,0.265916480396982,3.87215551135253,0.000107877084394269,0.0136918647067135
"50","CD44",301.827072150231,0.46456175637137,0.209290543840069,2.21969778398765,0.0264392893818684,0.236363130190631
"51","AGPAT4",10.6456275751735,-1.64640904026842,0.671923993355391,-2.45029059320644,0.0142740963730179,0.187173776860408
"52","SLAMF7",4.61479558909054,-3.51741880288222,1.1049722422578,-3.1832644010089,0.00145624570186113,NA
"53","PRKCH",79.7927193701487,-0.448687566117538,0.222995482331027,-2.01209262818823,0.0442101736261598,0.289707142945556
"54","SH2D2A",30.3318984139327,-1.41708610212924,0.349340968540145,-4.05645552553161,4.98230442889273e-05,0.00880622307806789
"55","BRD9",52.0519907380104,0.643568435430249,0.228050917751122,2.82203834905235,0.00477194706417671,0.112147365353117
"56","BCLAF1",142.232071344177,0.480982920458825,0.205221571918839,2.3437249601082,0.0190922446944154,0.206628039140688
"57","GRN",15.5192480745868,-1.48157309467648,0.573115536646483,-2.58512114912419,0.00973447864189148,0.159743359376803
"58","ARID4A",67.0212134445231,0.543990702157079,0.259931761889883,2.09282120123332,0.0363651184923307,0.267349796610861
"59","ALG1",6.92959444801942,-1.58309393411729,0.454442966910285,-3.48359211031606,0.00049473284799339,0.0339165491550091
"60","PIAS1",52.0120756516567,0.531347070500892,0.261613211725315,2.03104066112222,0.0422508700423593,0.285168163436258
"61","SH3YL1",53.8597441144011,1.47374916055441,0.373533499440031,3.94542701729222,7.96578924356003e-05,0.0125151399893265
"62","DAPK2",4.0422592362744,-2.31551975247418,0.812586448970541,-2.8495672742361,0.00437787462535047,NA
"63","MYOM2",10.4077456550061,-2.3850896664776,1.13203154481906,-2.10691095790871,0.0351252985898104,0.262216847953763
"64","RPL26L1",21.317097945585,-0.656485981079723,0.28873482039367,-2.2736640498872,0.022986193245412,0.223897661876091
"65","VCAN",9.37051340404287,-2.72398886395803,1.20180192174338,-2.26658720931858,0.0234154541774178,0.225002218033532
"66","PNKP",29.4835613470334,-0.606103563685913,0.273612139736032,-2.21519251401145,0.0267468534945615,0.237507426369713
"67","SLC66A1",3.02527657081463,-1.60900081954844,0.798909050113187,-2.01399748734913,0.0440097972938341,NA
"68","RTN4R",0.984149416797358,-3.15217453777026,1.4113554302226,-2.23343777922269,0.0255200891729135,NA
"69","PHF23",5.8695017254498,-1.44300961069986,0.616146099526273,-2.34199260826177,0.0191810948033311,0.206775614118757
"70","PSMA4",67.5401260243696,-0.719105427480321,0.248506235674067,-2.89371180376929,0.00380717423001737,0.0997061433261507
"71","AP2S1",56.7047463695938,-0.701023620357062,0.322171212765972,-2.17593500778201,0.0295601206576594,0.245711928810766
"72","ARAP2",46.270755136034,-0.938766482734016,0.323131087811195,-2.90521871198767,0.00366996555137585,0.098220781507485
"73","FAM184B",2.42950937318399,2.22665133898416,0.977231081372849,2.27853102651635,0.022694958106104,NA
"74","USP28",8.07660158710479,-2.16830354033512,0.55784433083994,-3.88693300346054,0.000101518758195036,0.013250540685026
"75","TSPAN17",14.0281635442821,-0.957570632757888,0.407657229418765,-2.34896026282469,0.0188259158201738,0.206355387362215
"76","RCN1",7.00705056244453,-1.18590674902866,0.485617266675706,-2.4420605081586,0.014603698723031,0.188878293691528
"77","CLPTM1L",24.9396198972788,-0.656024337497228,0.324745158090143,-2.02012045800889,0.0433708942889839,0.2876209129921
"78","HEXB",16.6082830607756,-0.668842122140509,0.327756354162885,-2.04066866635975,0.041283771853046,0.283145934034958
"79","MCUR1",15.3108296862156,-0.750008361579669,0.364598529208029,-2.05708005243141,0.0396785261509801,0.279131522276049
"80","HERPUD1",174.248378272317,-0.713105441273532,0.351966707897012,-2.02605935525639,0.0427587025367613,0.286547586244193
"81","CYBA",521.305943878847,-0.794903028753076,0.246583017643511,-3.22367305076248,0.0012655780479338,0.0542435902334907
"82","PHPT1",54.9491837418445,-0.822038570647009,0.331310691515224,-2.48117127427273,0.0130951434018278,0.17986885254014
"83","HHAT",2.809695362143,1.81169798478299,0.875995360773823,2.06815933726247,0.0386250425133811,NA
"84","GINM1",28.4559208614299,0.790206594923087,0.336819804462273,2.34608115215979,0.0189719762147743,0.206628039140688
"85","KMT2C",64.583414943804,0.632745896495335,0.274165899899916,2.30789422290051,0.0210050204666669,0.214817875417715
"86","MRPL43",48.4138780064375,-0.438331339447226,0.217751630738159,-2.01298763164859,0.0441159305419555,0.289466012929583
"87","TRAF1",27.980314042205,0.83430393622005,0.341641939255351,2.44204191686335,0.0146044508087745,0.188878293691528
"88","RC3H2",40.816616442742,0.597496883837815,0.291556913878768,2.04933189849259,0.0404296715157818,0.280981859275918
"89","GDI2",85.82591842992,-0.547046928413581,0.273629566959077,-1.99922447889338,0.0455840711336369,0.293203380968746
"90","PRDM1",109.58598555256,-2.04139907803178,0.480313068029257,-4.25014269632038,2.13634371309323e-05,0.0058466903425429
"91","PITHD1",57.8519538323402,0.500927263966372,0.235829138674909,2.12411098467735,0.0336608641915737,0.25778499359774
"92","POLR3E",50.2210748471743,0.850289086299451,0.421077463960834,2.01931748686161,0.0434542314990095,0.287625506953219
"93","YIPF1",9.87255299155941,-0.923293714285008,0.463102453215984,-1.99371371901241,0.0461833492527655,0.294539648005013
"94","TARBP1",12.1955089988202,0.809976030680643,0.389254826319699,2.08083747692675,0.0374487845577701,0.271319802039387
"95","PIGV",3.90444658563313,-1.86396010901073,0.654316515779656,-2.84871322067992,0.00438964284552595,NA
"96","ACAA1",43.0286230604687,-0.507475670899529,0.224525490749347,-2.26021405946312,0.0238079686927364,0.226442608059614
"97","NCKAP1",2.60820262375458,1.82973494170795,0.931178895391483,1.96496607769305,0.0494181638638127,NA
"98","TNK2",15.5176146467748,0.775816591479387,0.332624403436877,2.33241032065952,0.0196791156859803,0.208179364908994
"99","CA11",5.94210048035927,-1.14289413345612,0.554389034939647,-2.06153812832993,0.0392517298275154,0.278205242988004
"100","ISOC2",10.3245937661458,-0.930781341603005,0.432035838632844,-2.1544077096669,0.0312082125007451,0.248746937651029
"101","TM7SF3",14.5146662298405,-0.912444273847238,0.391213287552816,-2.33234479215907,0.0196825599191408,0.208179364908994
"102","FAR2",3.31239120836589,-1.51303058164936,0.728793212475133,-2.07607666447769,0.0378868610349487,NA
"103","UHRF1BP1",2.82035941239583,2.63813344396057,1.02439468359601,2.57530958155673,0.0100150401572244,NA
"104","DGKA",66.0268402025895,0.65195986882535,0.261475880310278,2.49338435366087,0.0126531795229818,0.177893035662129
"105","SLK",35.197181043313,-0.817313846615164,0.316276699890592,-2.5841734370502,0.00976126944823573,0.15987376447651
