gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PDK4,3.798794080572416,-1.6112958750962016,0.7531972835903153,-2.1392746763710178,0.03241342936255172,NA
ITGA2B,9.1515170878558,3.919019168854183,1.625303621474135,2.411253575685551,0.015897790986821553,0.8337647866603349
MGST1,18.721257030289447,0.751382472421089,0.33831262485283886,2.2209708335535208,0.026352936927692496,0.9997928060984639
CD4,24.20196105284061,-0.8873372931731303,0.3923076135836014,-2.261840612950626,0.023707252617334706,0.9814091834499508
PLAUR,51.328136094104934,1.230856825304495,0.3958503447865709,3.1093994018576168,0.0018746811138707564,0.28331719192703175
NUB1,15.916239025290928,-0.5781227021277993,0.2925434817894547,-1.9761940980242985,0.04813279809854806,0.9997928060984639
SLC11A1,68.75568356836965,0.5569535977054467,0.23117220391666668,2.4092585019703243,0.015984971308554096,0.8337647866603349
PLEKHO1,40.84852668319154,-0.6137004140994501,0.27510814486653523,-2.2307606137840015,0.02569699017515347,0.9997928060984639
UBR2,13.6804007701761,-0.7047335279963142,0.2598836018293724,-2.7117275697102645,0.006693357856851149,0.5801566354158921
IFNGR1,36.482701356374626,0.8549838472083534,0.304106178139338,2.8114649049208382,0.004931647047305216,0.519055851728874
FNIP2,8.739793177669808,0.9379099857705856,0.3397793958421327,2.7603497953311877,0.005773950242214285,0.5641277534289193
CDK14,2.1697047549565074,2.4027137281430155,1.0814444905715122,2.2217633443888096,0.026299303149685826,NA
MXD1,21.000849177227245,0.8660306708788522,0.36556398557992875,2.369026230811511,0.017834988508842672,0.8547763089440481
SLC2A3,53.00887471172589,0.8488375184361296,0.3040510776771356,2.791759611315996,0.005242228570325994,0.532718882646576
BCAT1,3.602217135383928,1.7959235031511305,0.8104426652588594,2.215978477117198,0.026692976204418854,NA
MYO9A,3.775468483976616,-1.1850803061860096,0.4761319140033213,-2.4889747385799956,0.012811206819532808,NA
BCL3,22.508438539162558,0.8197209728805457,0.31086128205547836,2.6369349294977584,0.008365887770132167,0.6241587660399873
MAPK6,11.974229464182006,1.0139463416838042,0.33515478253315323,3.0253076922257716,0.002483803014600052,0.3253229992900602
JMJD6,15.053850050194399,1.4692790598007928,0.38380744292971214,3.8281671886958857,1.291010518547865e-4,0.06341013330267598
NFATC3,13.993975393624845,-1.028340552834382,0.41959056087193936,-2.450819081099957,0.014253157254719656,0.8337647866603349
DERL2,11.5532087290649,0.604353806496726,0.30464689059964484,1.9837845884694894,0.047279858918280966,0.9997928060984639
TRAF4,3.904276890924903,1.050525215042553,0.5239378630098525,2.0050568764158934,0.044956966943875014,NA
TP53INP2,3.330752533436266,1.5282532151734163,0.6741425799361636,2.266958445672028,0.023392764318602495,NA
RAB21,23.215219992619623,0.5477288258851735,0.24075756719259947,2.275022265227516,0.02290459421039475,0.9720627175110874
CXCL2,6.537091439121371,4.361637208326961,1.6187358191936458,2.694471300758427,0.007050039772159774,0.5936133488158529
ULK2,2.3115399495786,-1.3910880759012771,0.6732201032679677,-2.066319869458162,0.03879828649372783,NA
ANAPC5,20.277286027851993,-0.6629140013684164,0.24409048532264505,-2.715853510193811,0.006610516047046801,0.5801566354158921
TRMT6,8.182766562417104,1.0801039094523368,0.37927626661755,2.847802524225643,0.0044022231452989094,0.4865881223719735
RGS1,12.661124478381332,2.0812127575549315,0.557738367979055,3.731521582594598,1.9032670035928117e-4,0.08012754085125737
ICAM1,20.822305064023325,1.0848207277387112,0.4176072408724854,2.597705742535141,0.009384887908234265,0.6664401124232863
KCNK6,8.380438237302302,-0.6646151030007827,0.32282171035925905,-2.058768297402153,0.039516440020081485,0.9997928060984639
OSM,9.459527194312463,2.605194968751578,0.7139855860038774,3.648806110124232,2.6346184609291577e-4,0.09705275755447784
TNRC6B,34.01143172550015,-0.4826961267845791,0.2399114576335568,-2.011976132969248,0.04422245296042306,0.9997928060984639
LGMN,1.0306920597430287,3.402201501265628,1.3772131713813607,2.470352137173638,0.013498010792047774,NA
NFKBIA,307.0672652295281,1.2684564837619767,0.5728677174410609,2.2142223154553666,0.026813489501862194,0.9997928060984639
